Order ID,Order Date,State,Region,Category,Sub-Category,Sales,Quantity,Profit
00046-IND,2023-06-11,Rajasthan,North,Furniture,Bookcases,4295.31,2,1063.44
00047-IND,2023-08-24,Maharashtra,West,Technology,Laptops,17812.72,3,4059.52
00048-IND,2023-01-08,Rajasthan,North,Furniture,Chairs,19717.4,2,1607.27
00049-IND,2023-10-07,Rajasthan,North,Furniture,Chairs,12212.03,9,2996.12
00050-IND,2023-11-04,Delhi,North,Furniture,Chairs,13213.52,3,2390.55
00051-IND,2023-01-10,Rajasthan,North,Office Supplies,Pens,15570.19,9,2140.32
00052-IND,2023-01-05,Delhi,North,Office Supplies,Binders,4678.35,6,631.5
00053-IND,2023-11-13,Karnataka,South,Furniture,Bookcases,19084.26,7,3752.01
00054-IND,2023-03-20,Delhi,North,Office Supplies,Paper,7670.35,1,539.57
00055-IND,2023-03-19,Uttar Pradesh,North,Office Supplies,Paper,2970.98,2,415.43
00056-IND,2023-01-12,Gujarat,West,Technology,Laptops,8507.35,3,1474.74
00057-IND,2023-02-28,Maharashtra,West,Technology,Laptops,11386.58,7,2794.93
00058-IND,2023-10-05,Rajasthan,North,Technology,Laptops,5819.83,6,456.16
00059-IND,2023-03-28,Rajasthan,North,Furniture,Bookcases,13524.32,9,3244.94
00060-IND,2023-12-25,Karnataka,South,Technology,Laptops,13976.04,10,3185.33
00061-IND,2023-02-26,Delhi,North,Technology,Accessories,17105.88,10,3951.4
00062-IND,2023-11-21,Uttar Pradesh,North,Technology,Accessories,10605.19,3,1818.2
00063-IND,2023-07-19,West Bengal,East,Office Supplies,Pens,19721.88,1,5456.42
00064-IND,2023-06-27,Delhi,North,Office Supplies,Pens,14413.77,3,3317.73
00065-IND,2023-02-04,Karnataka,South,Office Supplies,Pens,11349.63,1,752.97
00066-IND,2023-02-17,Gujarat,West,Office Supplies,Paper,18236.9,6,4481.3
00067-IND,2023-04-22,Rajasthan,North,Office Supplies,Binders,3324.84,5,531.93
00068-IND,2023-09-17,Karnataka,South,Office Supplies,Pens,3494.84,3,198.86
00069-IND,2023-10-05,Tamil Nadu,South,Office Supplies,Binders,11640.63,2,965.58
00070-IND,2023-04-14,Karnataka,South,Technology,Laptops,19233.46,3,2738.31
00071-IND,2023-10-13,Maharashtra,West,Furniture,Bookcases,15620.7,4,2859.1
00072-IND,2023-07-31,Gujarat,West,Office Supplies,Binders,19306.01,7,2465.12
00073-IND,2023-06-30,Karnataka,South,Office Supplies,Pens,11557.8,6,2149.71
00074-IND,2023-07-07,West Bengal,East,Office Supplies,Pens,5174.99,5,957.68
00075-IND,2023-04-05,Uttar Pradesh,North,Office Supplies,Pens,17454.62,4,1830.46
00076-IND,2024-01-01,Rajasthan,North,Furniture,Chairs,14848.72,3,3736.06
00077-IND,2023-10-01,Uttar Pradesh,North,Technology,Accessories,14705.8,9,1275.96
00078-IND,2023-03-22,Maharashtra,West,Technology,Laptops,4314.73,1,878.09
00079-IND,2023-08-26,Tamil Nadu,South,Office Supplies,Binders,959.15,5,285.49
00080-IND,2023-06-12,Uttar Pradesh,North,Office Supplies,Pens,1301.56,8,337.68
00081-IND,2023-02-06,Maharashtra,West,Technology,Laptops,18159.98,7,5209.06
00082-IND,2023-05-16,Maharashtra,West,Furniture,Chairs,15662.12,1,4145.11
00083-IND,2023-11-27,Karnataka,South,Office Supplies,Binders,19142.12,6,2821.21
00084-IND,2023-10-18,Gujarat,West,Office Supplies,Pens,16951.81,8,4254.3
00085-IND,2023-06-13,Maharashtra,West,Furniture,Bookcases,12886.81,8,2988.0
00086-IND,2023-03-06,Maharashtra,West,Technology,Accessories,5706.79,5,1332.72
00087-IND,2023-08-26,Delhi,North,Office Supplies,Binders,19915.61,2,1749.29
00088-IND,2023-03-12,Gujarat,West,Technology,Phones,5815.21,8,1366.68
00089-IND,2023-11-25,West Bengal,East,Technology,Phones,19310.41,2,4220.9
00090-IND,2023-11-19,Gujarat,West,Furniture,Tables,19545.87,6,4417.53
00091-IND,2023-01-29,West Bengal,East,Technology,Laptops,11086.54,10,1141.97
00092-IND,2023-12-22,Tamil Nadu,South,Furniture,Chairs,15489.05,4,2110.24
00093-IND,2023-05-21,Gujarat,West,Office Supplies,Binders,11568.31,4,1250.45
00094-IND,2023-05-14,Rajasthan,North,Technology,Phones,1468.56,4,160.48
00095-IND,2023-07-07,Karnataka,South,Furniture,Chairs,4932.25,5,1093.86
00096-IND,2023-09-25,Gujarat,West,Office Supplies,Paper,4480.14,3,463.35
00097-IND,2023-04-13,Gujarat,West,Technology,Accessories,17891.01,3,3366.32
00098-IND,2023-08-01,Karnataka,South,Technology,Phones,8362.08,4,1821.9
00099-IND,2023-07-21,Tamil Nadu,South,Furniture,Bookcases,16988.42,9,976.42
00100-IND,2023-04-08,Tamil Nadu,South,Office Supplies,Pens,2118.51,2,148.75
00101-IND,2023-05-12,Delhi,North,Furniture,Chairs,7238.11,5,1466.02
00102-IND,2023-03-16,Tamil Nadu,South,Technology,Laptops,4693.57,7,880.08
00103-IND,2023-03-10,Gujarat,West,Office Supplies,Pens,2694.74,10,279.81
00104-IND,2023-08-02,Gujarat,West,Office Supplies,Binders,14060.99,2,4000.9
00105-IND,2023-01-18,Tamil Nadu,South,Technology,Laptops,6440.45,10,1178.07
00106-IND,2023-06-08,Maharashtra,West,Furniture,Bookcases,5579.14,9,1071.49
00107-IND,2023-12-14,West Bengal,East,Furniture,Bookcases,14472.18,2,3840.84
00108-IND,2023-08-20,Tamil Nadu,South,Furniture,Bookcases,10876.14,6,2805.09
00109-IND,2023-04-13,West Bengal,East,Furniture,Bookcases,8333.0,1,2373.48
00110-IND,2023-06-18,Tamil Nadu,South,Technology,Phones,16987.46,4,1580.9
00111-IND,2023-02-13,Tamil Nadu,South,Office Supplies,Paper,7853.63,1,2327.62
00112-IND,2023-01-09,Delhi,North,Furniture,Chairs,3346.59,3,336.23
00113-IND,2023-02-23,Maharashtra,West,Office Supplies,Paper,11867.41,1,597.2
00114-IND,2023-09-12,West Bengal,East,Office Supplies,Paper,7035.6,7,1192.63
00115-IND,2023-03-20,West Bengal,East,Furniture,Chairs,1214.48,8,82.94
00116-IND,2023-04-25,Tamil Nadu,South,Furniture,Chairs,17831.66,1,1070.94
00117-IND,2023-09-29,West Bengal,East,Office Supplies,Pens,4127.69,10,673.27
00118-IND,2023-07-03,Maharashtra,West,Technology,Accessories,14057.94,9,3475.02
00119-IND,2023-02-06,Gujarat,West,Technology,Phones,5680.98,2,933.03
00120-IND,2023-01-14,Gujarat,West,Technology,Phones,4154.15,1,739.49
00121-IND,2023-09-16,Delhi,North,Furniture,Tables,4308.45,9,500.14
00122-IND,2023-08-14,Rajasthan,North,Technology,Phones,6183.33,9,1838.03
00123-IND,2023-05-31,Karnataka,South,Office Supplies,Binders,15536.27,1,1394.8
00124-IND,2023-09-03,Tamil Nadu,South,Furniture,Chairs,2626.85,4,452.91
00125-IND,2023-07-14,Maharashtra,West,Office Supplies,Paper,12251.55,6,3170.24
00126-IND,2023-12-27,Rajasthan,North,Office Supplies,Pens,5297.33,5,1565.15
00127-IND,2023-01-23,West Bengal,East,Furniture,Tables,2330.16,9,686.29
00128-IND,2023-09-03,Uttar Pradesh,North,Furniture,Bookcases,19516.02,8,2250.68
00129-IND,2023-11-09,Karnataka,South,Technology,Phones,4186.37,2,1107.32
00130-IND,2023-09-25,West Bengal,East,Technology,Laptops,19379.7,6,3079.8
00131-IND,2023-06-26,Uttar Pradesh,North,Furniture,Chairs,15588.36,5,1812.19
00132-IND,2023-10-08,Uttar Pradesh,North,Technology,Laptops,6718.13,7,1171.15
00133-IND,2023-10-30,Karnataka,South,Office Supplies,Paper,2134.88,5,246.95
00134-IND,2023-10-31,Maharashtra,West,Technology,Laptops,14258.86,4,2720.15
00135-IND,2023-10-14,Gujarat,West,Furniture,Chairs,16090.34,9,1446.71
00136-IND,2023-12-16,West Bengal,East,Office Supplies,Binders,10270.29,1,1066.57
00137-IND,2023-09-25,West Bengal,East,Technology,Phones,2537.38,3,548.93
00138-IND,2023-11-10,Rajasthan,North,Technology,Laptops,8014.92,7,2219.57
00139-IND,2023-12-03,Rajasthan,North,Office Supplies,Pens,6999.48,2,969.47
00140-IND,2023-12-16,West Bengal,East,Technology,Phones,5862.6,1,1428.59
00141-IND,2023-10-27,Gujarat,West,Technology,Accessories,13996.57,10,1178.95
00142-IND,2023-08-21,West Bengal,East,Furniture,Bookcases,12832.73,6,3380.48
00143-IND,2023-02-26,Karnataka,South,Office Supplies,Binders,13482.7,3,1246.2
00144-IND,2023-12-22,Delhi,North,Technology,Phones,12510.48,3,2975.78
00145-IND,2023-02-05,Uttar Pradesh,North,Technology,Laptops,7656.41,8,1660.15
00146-IND,2023-09-02,Gujarat,West,Office Supplies,Binders,15883.95,2,3626.42
00147-IND,2023-02-08,Karnataka,South,Technology,Laptops,5706.34,8,1572.81
00148-IND,2023-03-30,Uttar Pradesh,North,Office Supplies,Pens,8634.96,4,899.03
00149-IND,2023-11-28,Maharashtra,West,Technology,Phones,16444.15,3,2824.24
00150-IND,2023-11-25,Gujarat,West,Furniture,Tables,3984.65,9,217.45
00151-IND,2023-05-12,Rajasthan,North,Furniture,Tables,16110.95,6,1301.55
00152-IND,2023-04-29,Rajasthan,North,Furniture,Bookcases,16319.91,6,2883.78
00153-IND,2023-02-17,Uttar Pradesh,North,Office Supplies,Paper,3095.47,4,361.03
00154-IND,2023-11-25,Uttar Pradesh,North,Office Supplies,Pens,7149.08,1,594.62
00155-IND,2023-02-18,Karnataka,South,Furniture,Chairs,14112.01,7,2364.18
00156-IND,2023-02-08,Maharashtra,West,Furniture,Bookcases,3352.3,3,440.29
00157-IND,2023-11-07,Uttar Pradesh,North,Furniture,Bookcases,5293.05,8,330.24
00158-IND,2023-03-19,Maharashtra,West,Office Supplies,Pens,18345.94,10,1800.62
00159-IND,2023-06-05,Uttar Pradesh,North,Office Supplies,Pens,1032.18,5,144.43
00160-IND,2023-01-31,Karnataka,South,Office Supplies,Pens,5432.25,6,1024.28
00161-IND,2023-07-27,Gujarat,West,Technology,Phones,10703.25,3,1954.48
00162-IND,2023-12-13,Maharashtra,West,Technology,Phones,7960.44,6,1889.93
00163-IND,2023-05-20,Uttar Pradesh,North,Office Supplies,Paper,9497.01,2,1874.5
00164-IND,2023-03-25,Gujarat,West,Furniture,Chairs,569.8,9,130.55
00165-IND,2023-10-09,West Bengal,East,Office Supplies,Paper,1880.24,7,120.75
00166-IND,2023-07-30,Rajasthan,North,Office Supplies,Paper,13395.57,10,3901.81
00167-IND,2023-03-02,West Bengal,East,Office Supplies,Pens,4049.08,7,332.25
00168-IND,2023-05-28,Tamil Nadu,South,Office Supplies,Pens,1131.91,10,213.54
00169-IND,2023-05-08,Maharashtra,West,Office Supplies,Pens,12413.73,5,3108.45
00170-IND,2023-08-20,Maharashtra,West,Furniture,Tables,11780.14,3,2829.61
00171-IND,2023-11-24,Maharashtra,West,Furniture,Bookcases,6097.39,4,1750.84
00172-IND,2023-04-27,Tamil Nadu,South,Office Supplies,Binders,11630.63,8,1677.69
00173-IND,2023-01-26,Tamil Nadu,South,Furniture,Bookcases,12076.82,4,2216.27
00174-IND,2023-11-02,West Bengal,East,Furniture,Chairs,5126.52,8,361.9
00175-IND,2023-12-11,Rajasthan,North,Furniture,Tables,6781.77,10,1826.88
00176-IND,2023-11-18,Karnataka,South,Technology,Phones,13570.28,3,2668.37
00177-IND,2023-08-12,Karnataka,South,Furniture,Tables,7513.37,6,659.21
00178-IND,2023-09-12,Maharashtra,West,Office Supplies,Binders,534.52,10,78.89
00179-IND,2023-04-27,Tamil Nadu,South,Technology,Accessories,8217.3,9,426.73
00180-IND,2023-08-15,Maharashtra,West,Furniture,Tables,4451.74,10,1114.26
00181-IND,2023-01-12,Gujarat,West,Office Supplies,Pens,975.61,7,144.93
00182-IND,2023-08-28,Maharashtra,West,Office Supplies,Pens,10086.01,6,2041.5
00183-IND,2023-05-07,Tamil Nadu,South,Technology,Laptops,3508.27,9,545.44
00184-IND,2023-12-12,Tamil Nadu,South,Office Supplies,Binders,12391.03,5,2232.44
00185-IND,2023-07-30,Maharashtra,West,Furniture,Bookcases,13170.91,3,1204.41
00186-IND,2023-12-21,West Bengal,East,Furniture,Tables,12853.51,6,1981.14
00187-IND,2023-06-19,Tamil Nadu,South,Furniture,Bookcases,16169.42,4,3631.82
00188-IND,2023-11-02,Maharashtra,West,Office Supplies,Binders,10524.4,10,835.63
00189-IND,2023-07-03,Maharashtra,West,Technology,Accessories,16896.62,8,4567.75
00190-IND,2023-02-25,Rajasthan,North,Technology,Accessories,16363.33,4,1349.8
00191-IND,2023-01-30,Uttar Pradesh,North,Technology,Accessories,13696.5,10,2217.16
00192-IND,2023-07-01,Maharashtra,West,Office Supplies,Pens,14733.92,9,3144.89
00193-IND,2023-05-03,Gujarat,West,Office Supplies,Paper,8710.67,7,1782.83
00194-IND,2023-06-06,Delhi,North,Office Supplies,Paper,17545.57,4,4035.77
00195-IND,2023-02-20,Gujarat,West,Office Supplies,Binders,19253.15,2,4654.18
00196-IND,2023-12-22,West Bengal,East,Office Supplies,Paper,8864.06,7,1012.57
00197-IND,2023-08-06,Karnataka,South,Office Supplies,Paper,7616.15,7,1768.64
00198-IND,2023-01-23,Delhi,North,Furniture,Tables,17079.77,1,2010.2
00199-IND,2023-02-17,Delhi,North,Furniture,Bookcases,14752.39,4,2705.58
00200-IND,2023-12-08,West Bengal,East,Technology,Accessories,10978.89,3,1163.92
00201-IND,2023-11-27,Uttar Pradesh,North,Office Supplies,Binders,8640.16,2,1395.61
00202-IND,2023-01-27,Rajasthan,North,Office Supplies,Paper,4608.14,8,653.35
00203-IND,2023-05-16,Uttar Pradesh,North,Technology,Phones,6653.37,1,893.16
00204-IND,2023-10-08,Uttar Pradesh,North,Office Supplies,Pens,4583.74,6,1088.22
00205-IND,2023-01-19,Karnataka,South,Technology,Accessories,3217.27,6,744.78
00206-IND,2023-06-22,Maharashtra,West,Office Supplies,Binders,19708.56,5,4045.23
00207-IND,2023-05-26,Uttar Pradesh,North,Office Supplies,Pens,2679.11,5,599.18
00208-IND,2023-07-06,Gujarat,West,Furniture,Bookcases,15008.82,10,925.51
00209-IND,2023-01-05,Delhi,North,Office Supplies,Pens,9638.0,7,1912.33
00210-IND,2023-07-20,Rajasthan,North,Furniture,Chairs,6007.96,10,1267.33
00211-IND,2023-09-03,Maharashtra,West,Furniture,Chairs,16439.28,9,2707.41
00212-IND,2023-01-20,West Bengal,East,Furniture,Chairs,19923.61,2,3214.71
00213-IND,2023-11-15,Tamil Nadu,South,Office Supplies,Paper,18453.45,3,2689.63
00214-IND,2023-05-31,Delhi,North,Office Supplies,Binders,19776.6,2,5356.79
00215-IND,2023-04-30,Tamil Nadu,South,Furniture,Tables,1501.57,2,123.67
00216-IND,2023-03-06,West Bengal,East,Technology,Laptops,8797.72,10,1031.66
00217-IND,2023-04-20,Delhi,North,Furniture,Bookcases,12999.56,2,1602.2
00218-IND,2023-10-20,Karnataka,South,Office Supplies,Pens,16397.16,5,4034.15
00219-IND,2023-07-23,Maharashtra,West,Technology,Accessories,18197.58,10,2458.45
00220-IND,2023-11-02,Karnataka,South,Furniture,Tables,1765.24,1,441.55
00221-IND,2023-09-13,Gujarat,West,Furniture,Chairs,4154.42,1,1199.88
00222-IND,2023-08-14,Karnataka,South,Technology,Laptops,6157.33,4,1714.25
00223-IND,2023-09-11,Tamil Nadu,South,Furniture,Bookcases,15310.22,4,4080.06
00224-IND,2023-01-02,Karnataka,South,Technology,Accessories,9986.87,6,627.9
00225-IND,2023-07-27,Maharashtra,West,Office Supplies,Pens,7684.8,3,1327.36
00226-IND,2023-06-07,Delhi,North,Technology,Laptops,13820.51,7,3875.92
00227-IND,2023-05-29,West Bengal,East,Technology,Laptops,2136.03,10,350.04
00228-IND,2023-12-24,Rajasthan,North,Office Supplies,Paper,6160.94,7,1359.26
00229-IND,2023-09-22,Rajasthan,North,Office Supplies,Binders,9141.92,8,1831.7
00230-IND,2023-12-13,Tamil Nadu,South,Office Supplies,Binders,9619.01,7,2056.29
00231-IND,2023-05-11,Tamil Nadu,South,Furniture,Bookcases,11595.99,8,2878.96
00232-IND,2023-10-09,Rajasthan,North,Office Supplies,Pens,5849.27,1,555.22
00233-IND,2023-01-02,Karnataka,South,Office Supplies,Pens,5076.72,9,1129.71
00234-IND,2023-08-21,Karnataka,South,Technology,Accessories,18245.11,8,4502.85
00235-IND,2023-11-29,Rajasthan,North,Furniture,Chairs,13551.96,2,1227.82
00236-IND,2023-05-17,Delhi,North,Furniture,Tables,11290.31,6,1899.5
00237-IND,2023-03-15,Maharashtra,West,Office Supplies,Pens,13290.54,4,1578.07
00238-IND,2023-08-13,Gujarat,West,Furniture,Tables,14334.3,6,2440.48
00239-IND,2023-11-06,West Bengal,East,Furniture,Chairs,1221.17,2,228.72
00240-IND,2023-11-28,West Bengal,East,Technology,Laptops,7181.2,5,863.23
00241-IND,2023-10-06,Uttar Pradesh,North,Furniture,Tables,6519.81,1,1112.7
00242-IND,2023-02-05,Tamil Nadu,South,Furniture,Chairs,17769.21,4,3127.06
00243-IND,2023-04-19,Karnataka,South,Office Supplies,Pens,16770.92,5,1119.71
00244-IND,2023-08-23,Rajasthan,North,Technology,Phones,9929.09,4,1865.11
00245-IND,2023-04-03,Tamil Nadu,South,Office Supplies,Paper,8480.68,9,1117.03
00246-IND,2023-07-17,Delhi,North,Office Supplies,Paper,13487.9,4,1620.91
00247-IND,2023-03-14,Maharashtra,West,Furniture,Bookcases,10889.29,6,1155.23
00248-IND,2023-08-13,Delhi,North,Office Supplies,Binders,11782.39,4,2257.19
00249-IND,2023-07-09,Rajasthan,North,Technology,Phones,3282.74,7,260.81
00250-IND,2023-11-05,Tamil Nadu,South,Technology,Laptops,2938.9,7,564.93
00251-IND,2023-12-11,Rajasthan,North,Technology,Phones,19413.9,5,3973.99
00252-IND,2023-01-22,Karnataka,South,Technology,Phones,19959.5,8,3526.12
00253-IND,2023-08-29,Uttar Pradesh,North,Technology,Phones,12628.12,5,2770.6
00254-IND,2023-07-24,Rajasthan,North,Furniture,Tables,13313.77,8,3126.82
00255-IND,2023-12-06,Karnataka,South,Office Supplies,Pens,2690.47,2,694.52
00256-IND,2023-06-29,Maharashtra,West,Technology,Laptops,3741.71,9,540.68
00257-IND,2023-05-14,Tamil Nadu,South,Furniture,Bookcases,18351.86,4,1368.07
00258-IND,2023-09-02,West Bengal,East,Office Supplies,Pens,1322.78,8,348.37
00259-IND,2023-06-09,Gujarat,West,Technology,Phones,15665.17,5,1382.12
00260-IND,2023-11-05,Karnataka,South,Furniture,Chairs,14810.77,10,3818.03
00261-IND,2023-11-23,Delhi,North,Office Supplies,Pens,19080.02,2,1550.83
00262-IND,2023-09-02,Rajasthan,North,Technology,Laptops,18428.13,5,3403.69
00263-IND,2023-02-15,Gujarat,West,Office Supplies,Binders,14634.37,8,1904.56
00264-IND,2023-08-29,Maharashtra,West,Furniture,Bookcases,11979.52,3,3280.02
00265-IND,2023-08-22,Karnataka,South,Technology,Accessories,13112.37,1,2907.74
00266-IND,2023-05-09,West Bengal,East,Office Supplies,Paper,5608.76,6,1369.8
00267-IND,2023-11-03,Gujarat,West,Office Supplies,Paper,17769.86,6,3092.31
00268-IND,2023-05-15,Karnataka,South,Furniture,Chairs,2507.67,2,637.45
00269-IND,2023-01-20,Uttar Pradesh,North,Office Supplies,Pens,3263.14,7,755.72
00270-IND,2023-02-25,West Bengal,East,Technology,Phones,18641.87,10,3226.65
00271-IND,2023-12-23,Rajasthan,North,Technology,Phones,3477.74,10,645.3
00272-IND,2023-12-09,Delhi,North,Office Supplies,Paper,19332.82,3,1279.46
00273-IND,2023-12-16,Tamil Nadu,South,Furniture,Chairs,18950.28,9,1263.16
00274-IND,2023-05-17,Uttar Pradesh,North,Office Supplies,Binders,15090.36,5,2268.92
00275-IND,2023-02-23,Tamil Nadu,South,Furniture,Chairs,10602.46,2,1754.31
00276-IND,2023-12-31,Tamil Nadu,South,Technology,Phones,12782.94,9,1455.5
00277-IND,2023-07-25,West Bengal,East,Furniture,Tables,3091.23,3,645.2
00278-IND,2023-02-04,Gujarat,West,Furniture,Bookcases,1673.92,1,490.59
00279-IND,2023-05-29,Delhi,North,Furniture,Bookcases,18781.63,3,1969.19
00280-IND,2023-11-23,West Bengal,East,Technology,Accessories,8856.89,2,1086.29
00281-IND,2023-09-08,Tamil Nadu,South,Office Supplies,Binders,10574.1,3,2791.49
00282-IND,2023-12-26,Uttar Pradesh,North,Technology,Phones,9558.11,1,1090.24
00283-IND,2023-09-10,Uttar Pradesh,North,Office Supplies,Pens,12431.71,9,1698.43
00284-IND,2023-06-15,Maharashtra,West,Furniture,Tables,14730.66,5,3903.57
00285-IND,2023-06-13,Uttar Pradesh,North,Technology,Phones,15039.61,5,4078.34
00286-IND,2023-05-26,Tamil Nadu,South,Technology,Accessories,18761.47,4,1330.55
00287-IND,2023-11-07,Uttar Pradesh,North,Furniture,Tables,8987.19,2,896.06
00288-IND,2023-01-20,Tamil Nadu,South,Furniture,Tables,10633.97,5,1443.49
00289-IND,2023-10-05,Delhi,North,Furniture,Bookcases,3526.59,9,577.65
00290-IND,2023-04-16,Rajasthan,North,Technology,Laptops,10724.21,4,1296.13
00291-IND,2023-08-20,Uttar Pradesh,North,Office Supplies,Binders,16174.03,10,3459.76
00292-IND,2023-10-29,Rajasthan,North,Furniture,Chairs,3555.3,7,396.77
00293-IND,2023-12-10,Gujarat,West,Office Supplies,Binders,8927.17,9,2071.59
00294-IND,2023-06-17,West Bengal,East,Technology,Phones,16243.27,5,2900.93
00295-IND,2023-12-15,Gujarat,West,Office Supplies,Binders,12615.76,10,1180.29
00296-IND,2023-03-09,West Bengal,East,Furniture,Bookcases,9731.12,8,620.53
00297-IND,2023-11-28,Uttar Pradesh,North,Furniture,Chairs,12000.76,7,1298.59
00298-IND,2023-05-06,Rajasthan,North,Office Supplies,Binders,18814.78,3,1434.5
00299-IND,2023-10-24,Tamil Nadu,South,Technology,Phones,2773.54,1,215.25
00300-IND,2023-05-24,Delhi,North,Furniture,Bookcases,19282.07,10,1389.02
00301-IND,2023-05-31,Gujarat,West,Furniture,Tables,18686.82,9,5318.03
00302-IND,2023-01-20,Rajasthan,North,Office Supplies,Paper,6300.29,10,772.54
00303-IND,2023-07-07,Maharashtra,West,Technology,Accessories,15023.72,1,2036.19
00304-IND,2023-03-13,West Bengal,East,Furniture,Bookcases,10973.82,9,2196.25
00305-IND,2023-03-21,Gujarat,West,Furniture,Bookcases,2108.15,4,171.16
00306-IND,2023-02-23,Tamil Nadu,South,Office Supplies,Binders,10113.09,2,1262.83
00307-IND,2023-12-30,West Bengal,East,Technology,Laptops,2394.97,7,668.92
00308-IND,2023-08-15,Uttar Pradesh,North,Technology,Laptops,12478.03,4,2868.56
00309-IND,2023-12-01,West Bengal,East,Technology,Phones,1171.03,3,289.95
00310-IND,2023-05-19,Gujarat,West,Technology,Accessories,5908.66,1,819.07
00311-IND,2023-05-12,West Bengal,East,Technology,Laptops,18677.08,8,2718.53
00312-IND,2023-02-26,Gujarat,West,Technology,Accessories,9179.27,7,2633.24
00313-IND,2023-02-22,Uttar Pradesh,North,Furniture,Chairs,12168.31,3,1693.92
00314-IND,2023-11-16,Rajasthan,North,Furniture,Chairs,2672.49,5,396.74
00315-IND,2023-12-30,Uttar Pradesh,North,Office Supplies,Binders,16165.87,9,3907.24
00316-IND,2023-06-04,Delhi,North,Furniture,Tables,10427.72,7,634.71
00317-IND,2023-02-11,Delhi,North,Technology,Accessories,10488.62,2,2707.45
00318-IND,2023-05-19,Rajasthan,North,Office Supplies,Pens,8400.58,8,1023.41
